id_doctor,name,last_name,email,telephone,address,status,id_clinic
38119557,Carlos,González,carlos.gonz35@gmail.com,+57 3293871230,"Calle 137 #94-32, Bogotá",1,11
31931511,María,Martínez,maría.mart49@outlook.com,+57 3274684531,"Calle 84 #99-8, Bogotá",1,8
40742311,Juan,López,juan.lópe41@yahoo.com,+57 3182110460,"Calle 55 #73-92, Bogotá",1,1
52235350,Andrea,Rodríguez,andrea.rodr84@yahoo.com,+57 3228698256,"Calle 37 #34-18, Bogotá",1,4
43101783,Luis,García,luis.garc69@outlook.com,+57 3288187926,"Calle 150 #52-47, Bogotá",1,9
39436733,Patricia,Hernández,patricia.hern66@yahoo.com,+57 3121790481,"Calle 29 #20-81, Bogotá",1,3
31472420,Jorge,Pérez,jorge.pére55@gmail.com,+57 3227402509,"Calle 120 #68-33, Bogotá",1,11
84252722,Diana,Torres,diana.torr88@gmail.com,+57 3275476583,"Calle 88 #15-38, Bogotá",1,1
68353204,Andrés,Ramírez,andrés.ramí59@gmail.com,+57 3189398441,"Calle 46 #65-14, Bogotá",1,3
93926371,Claudia,Flores,claudia.flor82@hotmail.com,+57 3147273233,"Calle 42 #70-68, Bogotá",1,5
10076758,Ricardo,Díaz,ricardo.díaz42@yahoo.com,+57 3102876828,"Calle 93 #40-31, Bogotá",1,10
17774584,Laura,Moreno,laura.more73@gmail.com,+57 3129153566,"Calle 18 #98-69, Bogotá",1,4
26879290,Felipe,Jiménez,felipe.jimé85@yahoo.com,+57 3273770370,"Calle 68 #68-78, Bogotá",1,3
66792612,Sandra,Ruiz,sandra.ruiz70@hotmail.com,+57 3197693979,"Calle 96 #57-67, Bogotá",1,4
70597444,Sergio,Vargas,sergio.varg32@hotmail.com,+57 3126672134,"Calle 6 #76-71, Bogotá",1,2
40885476,Natalia,Castro,natalia.cast29@gmail.com,+57 3121987737,"Calle 59 #9-5, Bogotá",1,10
54349361,Alejandro,Romero,alejandro.rome66@hotmail.com,+57 3189143903,"Calle 55 #70-17, Bogotá",1,2
86644106,Mónica,Suárez,mónica.suár61@hotmail.com,+57 3257829332,"Calle 49 #13-13, Bogotá",1,10
98447167,Hernán,Mendoza,hernán.mend46@yahoo.com,+57 3238835373,"Calle 14 #87-84, Bogotá",1,7
96728778,Viviana,Ortiz,viviana.orti8@yahoo.com,+57 3202833230,"Calle 64 #25-25, Bogotá",1,2
81979055,Oscar,Silva,oscar.silv18@yahoo.com,+57 3155673212,"Calle 119 #32-10, Bogotá",1,8
69476001,Liliana,Ramos,liliana.ramo13@gmail.com,+57 3271247595,"Calle 24 #97-31, Bogotá",1,9
32321899,Gustavo,Núñez,gustavo.núñe63@yahoo.com,+57 3167728339,"Calle 16 #22-49, Bogotá",0,7
10289289,Carolina,Morales,carolina.mora34@yahoo.com,+57 3198096887,"Calle 143 #85-92, Bogotá",0,7
75319931,Rafael,Guerrero,rafael.guer25@outlook.com,+57 3161981186,"Calle 149 #95-70, Bogotá",0,3
